SrNo,State Name,TIN,StateCode,Population,AreaInSqKm,DensityPerSqKm
1,Andaman and Nicobar Islands,35,AN,0,0,0,0
2,Andhra Pradesh,28,AP,49386799,162968,303
3,Andhra Pradesh New,37,AD,0,0,0,0
4,Arunachal Pradesh,12,AR,1382611
5,Assam,18,AS,31169272,78438,397
6,Bihar,10,BH,103804637,94163,1102
7,Chandigarh,04,CH,0,0,0,0
8,Chattisgarh,22,CT,25540196,135191,189
9,Dadra and Nagar Haveli,26,DN,0,0,0,0
10,Daman and Diu,25,DD,0,0,0,0
11,Delhi,07,DL,0,0,0,0
12,Goa,30,GA,1457723,3702,394
13,Gujarat,24,GJ,60383628,196024,308
14,Haryana,06,HR,25353081,44212,573
15,Himachal Pradesh,02,HP,6864602,55673,123
16,Jammu and Kashmir,01,JK,12548926,222236,57
17,Jharkhand,20,JH,32966238,79714,414
18,Karnataka,29,KA,61130704,191791,319
19,Kerala,32,KL,33387677,38863,859
20,Lakshadweep Islands,31,LD,0,0,0,0
21,Madhya Pradesh,23,MP,72597565,308245,236
22,Maharashtra,27,MH,0,0,0,0
23,Manipur,14,MN,2721756,22327,122
24,Meghalaya,17,ME,2964007,22429,132
25,Mizoram,15,MI,1091014,21081,52
26,Nagaland,13,NL,1980602,16579,119
27,Odisha,21,OR,41947358,155707,269
28,Pondicherry,34,PY,0,0,0,0
29,Punjab,03,PB,27704236,50362,550
30,Rajasthan,08,RJ,68621012,342239,201
31,Sikkim,11,SK,607688,7096,86
32,Tamil Nadu,33,TN,72138958,130058,555
33,Telangana,36,TS,35286757,114840,307
34,Tripura,16,TR,3671032,10486,350
35,Uttar Pradesh,09,UP,199812341,240928,828
36,Uttarakhand,05,UT,10116752,53483,189
37,West Bengal,19,WB,91347736,88752,1029
